# REAPER native action catalog (id\tname)
# Generated from REAPER 7.74 via SWS CF_EnumerateActions; native = ReverseNamedCommandLookup() empty.
# Native command IDs are stable across REAPER versions/platforms. Regenerate: see tools/README.md
255	Track: Toggle solo for track 30
256	Track: Toggle FX bypass for track 30
257	Track: Toggle record arm for track 30
258	Track: Set mute for track 30 (MIDI CC/OSC only)
259	Track: Set solo for track 30 (MIDI CC/OSC only)
260	Track: Set volume for track 31 (MIDI CC/OSC only)
261	Track: Set pan for track 31 (MIDI CC/OSC only)
262	Track: Toggle mute for track 31
263	Track: Toggle solo for track 31
264	Track: Toggle FX bypass for track 31
265	Track: Toggle record arm for track 31
266	Track: Set mute for track 31 (MIDI CC/OSC only)
267	Track: Set solo for track 31 (MIDI CC/OSC only)
268	Track: Set volume for track 32 (MIDI CC/OSC only)
269	Track: Set pan for track 32 (MIDI CC/OSC only)
270	Track: Toggle mute for track 32
271	Track: Toggle solo for track 32
272	Track: Toggle FX bypass for track 32
273	Track: Toggle record arm for track 32
274	Track: Set mute for track 32 (MIDI CC/OSC only)
275	Track: Set solo for track 32 (MIDI CC/OSC only)
276	Track: Set volume for track 33 (MIDI CC/OSC only)
277	Track: Set pan for track 33 (MIDI CC/OSC only)
278	Track: Toggle mute for track 33
279	Track: Toggle solo for track 33
280	Track: Toggle FX bypass for track 33
281	Track: Toggle record arm for track 33
282	Track: Set mute for track 33 (MIDI CC/OSC only)
283	Track: Set solo for track 33 (MIDI CC/OSC only)
284	Track: Set volume for track 34 (MIDI CC/OSC only)
285	Track: Set pan for track 34 (MIDI CC/OSC only)
286	Track: Toggle mute for track 34
287	Track: Toggle solo for track 34
288	Track: Toggle FX bypass for track 34
289	Track: Toggle record arm for track 34
290	Track: Set mute for track 34 (MIDI CC/OSC only)
291	Track: Set solo for track 34 (MIDI CC/OSC only)
292	Track: Set volume for track 35 (MIDI CC/OSC only)
293	Track: Set pan for track 35 (MIDI CC/OSC only)
294	Track: Toggle mute for track 35
295	Track: Toggle solo for track 35
296	Track: Toggle FX bypass for track 35
297	Track: Toggle record arm for track 35
298	Track: Set mute for track 35 (MIDI CC/OSC only)
299	Track: Set solo for track 35 (MIDI CC/OSC only)
